image_name,image_width,image_height,top_x,top_y,bottom_x,bottom_y
licensed_car198,600,337,0.325,0.590504451,0.466666667,0.694362018
licensed_car199,704,330,0.795454545,0.624242424,0.951704545,0.757575758
licensed_car200,654,380,0.03058104,0.642105263,0.152905199,0.839473684
licensed_car201,630,353,0.398412698,0.529745042,0.595238095,0.662889518
licensed_car202,500,333,0.198,0.615615616,0.818,0.933933934
licensed_car203,600,430,0.406666667,0.534883721,0.628333333,0.706976744
licensed_car204,442,333,0.36199095,0.633633634,0.64479638,0.78978979
licensed_car205,602,339,0.166112957,0.460176991,0.445182724,0.640117994
licensed_car206,500,289,0.726,0.574394464,0.87,0.698961938
licensed_car207,499,287,0.276553106,0.229965157,0.903807615,0.540069686
licensed_car208,500,358,0.308,0.547486034,0.754,0.723463687
licensed_car209,500,355,0.112,0.622535211,0.53,0.814084507
licensed_car210,474,354,0.276371308,0.293785311,0.85443038,0.638418079
licensed_car211,500,250,0.314,0.356,0.764,0.64
licensed_car212,500,332,0.288,0.340361446,0.696,0.59939759
licensed_car213,509,290,0.243614931,0.379310345,0.785854617,0.713793103
licensed_car214,500,354,0.286,0.689265537,0.678,0.906779661
licensed_car215,500,448,0.368,0.680803571,0.778,0.825892857
licensed_car216,500,336,0.474,0.303571429,0.774,0.482142857
licensed_car217,450,290,0.246666667,0.403448276,0.868888889,0.727586207
licensed_car218,500,274,0.36,0.419708029,0.76,0.686131387
licensed_car219,397,247,0.352644836,0.627530364,0.826196474,0.858299595
licensed_car220,418,330,0.131578947,0.578787879,0.464114833,0.721212121
licensed_car221,429,450,0.216783217,0.737777778,0.694638695,0.902222222
licensed_car222,500,333,0.282,0.663663664,0.702,0.81981982
licensed_car223,500,335,0.272,0.585074627,0.696,0.829850746
licensed_car224,229,140,0.104803493,0.257142857,0.816593886,0.742857143
licensed_car225,500,393,0.286,0.524173028,0.804,0.694656489
licensed_car226,500,291,0.372,0.336769759,0.726,0.532646048
licensed_car227,400,224,0.25,0.638392857,0.545,0.866071429
licensed_car228,317,215,0.34384858,0.493023256,0.741324921,0.753488372
licensed_car229,330,267,0.309090909,0.501872659,0.793939394,0.74906367
licensed_car230,424,249,0.330188679,0.598393574,0.764150943,0.883534137
licensed_car231,249,239,0.052208835,0.489539749,0.590361446,0.778242678
licensed_car232,500,366,0.344,0.609289617,0.706,0.778688525
licensed_car233,500,333,0.368,0.453453453,0.616,0.618618619
licensed_car234,500,332,0.334,0.608433735,0.628,0.768072289
licensed_car235,586,331,0.295221843,0.601208459,0.441979522,0.719033233
licensed_car236,395,147,0.040506329,0.129251701,0.929113924,0.857142857
